SCS_CHI,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
30.00000128131136,0.019526094,-0.108709314,-0.071227973,94705,1627913380,216893597
30.00000128131136,0.019528238,-0.108734114,-0.071211509,94706,1627913380,222852741
30.00000128131136,0.019526594,-0.10874792800000001,-0.07121332200000001,94707,1627913380,228877701
30.00000035692674,0.019528483000000003,-0.108745557,-0.071200176,94708,1627913380,234807043
30.00000035692674,0.019531633,-0.10873197200000001,-0.07119932000000001,94709,1627913380,240953593
30.00000035692674,0.019529635,-0.10873257500000001,-0.071212141,94710,1627913380,246909776
30.00000035692674,0.019529539000000002,-0.108756289,-0.071218003,94711,1627913380,252977230
30.000002631692425,0.019515794,-0.10876115300000001,-0.071219083,94712,1627913380,258938911
30.000002631692425,0.019528067,-0.10875630400000001,-0.07121973200000001,94713,1627913380,264870211
30.000002631692425,0.019531754000000002,-0.10875148300000001,-0.07121284900000001,94714,1627913380,270883824
30.000002177853,0.019538911000000003,-0.10874750400000001,-0.071195073,94715,1627913380,276811693
30.000002177853,0.019535473,-0.10874824200000001,-0.071191164,94716,1627913380,282934279
30.000002177853,0.019517682,-0.10874098300000001,-0.071189467,94717,1627913380,288877086
29.99999954948241,0.019505301000000003,-0.108727636,-0.07118946000000001,94718,1627913380,294883524
29.99999954948241,0.019522561,-0.108704596,-0.071201341,94719,1627913380,300912096
29.99999954948241,0.019522015,-0.108689166,-0.07120111500000001,94720,1627913380,306820548
29.99999954948241,0.019526812,-0.108696202,-0.071195434,94721,1627913380,312815007
29.99999890074272,0.019526,-0.108705878,-0.07118382200000001,94722,1627913380,318977138
29.99999890074272,0.01952926,-0.10870951000000001,-0.071158149,94723,1627913380,324837705
29.99999890074272,0.019524569000000002,-0.108699315,-0.071145788,94724,1627913380,330840674
29.999998831135404,0.019507990000000003,-0.108691668,-0.071132923,94725,1627913380,336873646
29.999998831135404,0.019512399,-0.108691121,-0.071139164,94726,1627913380,342885929
29.999998831135404,0.019511541,-0.108681391,-0.07111801300000001,94727,1627913380,348870493
30.000002119382895,0.019501414,-0.108687373,-0.07110832,94728,1627913380,354835655
30.000002119382895,0.019488657,-0.10867773700000001,-0.071127176,94729,1627913380,360867478
30.000002119382895,0.019485126000000002,-0.108683547,-0.071122538,94730,1627913380,366888910
30.000002119382895,0.019480749000000002,-0.108691511,-0.071118951,94731,1627913380,372952876
30.00000033186819,0.019483228000000002,-0.108697942,-0.071108487,94732,1627913380,378914037
